Ordered,Unordered
I love dogs.,I dogs love
She plays tennis.,She plays tennis
They drink coffee.,drink coffee They
He eats pizza.,pizza He eats
We go shopping.,shopping We go
She dances gracefully.,gracefully She dances
He runs fast.,runs fast He
They swim daily.,They daily swim
I study hard.,I study hard
She sings beautifully.,sings beautifully She
He laughs often.,He laughs often
We watch movies.,We movies watch
They work hard.,hard They work
She paints portraits.,She paints portraits
He listens attentively.,He listens attentively
We travel often.,often We travel
They read books.,books They read
I write poetry.,I write poetry
She speaks Spanish.,She Spanish speaks
He thinks deeply.,He deeply thinks
We cook dinner.,dinner We cook
They exercise daily.,daily exercise They
She teaches math.,She math teaches
He learns quickly.,He learns quickly
We enjoy nature.,We enjoy nature
They watch TV.,TV They watch
I play guitar.,guitar play I
She studies art.,studies She art
He writes music.,writes He music
We visit family.,visit family We
They play soccer.,play They soccer
She practices yoga.,practices yoga She
He creates art.,creates He art
We take walks.,walks take We
They ride bikes.,bikes They ride
I meditate daily.,meditate daily I
She designs clothes.,designs She clothes
He fixes cars.,fixes cars He
We plant trees.,plant trees We
They draw pictures.,pictures draw They
She bakes cakes.,cakes bakes She
He sells houses.,He houses sells
We do homework.,do homework We
They watch birds.,They birds watch
I like chocolate.,I chocolate like
She writes novels.,writes She novels
He speaks loudly.,He speaks loudly
We dance together.,dance We together
They sing karaoke.,karaoke sing They
She plays piano.,piano plays She
He enjoys hiking.,He hiking enjoys
We swim laps.,laps swim We
They run marathons.,marathons They run
I watch sunsets.,sunsets watch I
She sketches people.,people sketches She
He builds houses.,builds houses He
We paint landscapes.,paint landscapes We
They take photos.,photos They take
She sews clothes.,She clothes sews
He codes websites.,codes websites He
We enjoy picnics.,picnics We enjoy
They write stories.,stories write They
I collect stamps.,stamps collect I
She makes jewelry.,makes She jewelry
He studies science.,studies He science
We play board games.,We games play board
They solve puzzles.,puzzles They solve
She grows flowers.,flowers grows She
He teaches English.,He English teaches
We practice basketball.,basketball practice We
They play video games.,games They play video
I eat vegetables.,vegetables I eat
She designs websites.,designs She websites
He reads newspapers.,reads newspapers He
We celebrate birthdays.,birthdays We celebrate
They do chores.,do chores They
She writes blogs.,blogs writes She
He plays drums.,drums He plays
We attend concerts.,We concerts attend
They volunteer often.,volunteer They often
She creates animations.,creates She animations
He watches sports.,He watches sports
We build sandcastles.,We build sandcastles
They sing in choir.,in They choir sing
I draw cartoons.,draw cartoons I
She learns languages.,She languages learns
He designs buildings.,buildings designs He
We hike mountains.,We mountains hike
They go fishing.,go They fishing
She cooks dinner.,dinner cooks She
He fixes computers.,computers He fixes
We play frisbee.,play frisbee We
They watch sunrises.,They sunrises watch
She practices meditation.,meditation practices She
He sings in shower.,in shower He sings
We write letters.,letters write We
They ride horses.,horses They ride
She takes photographs.,takes photographs She
He designs logos.,He designs logos
We climb trees.,We trees climb
They listen to music.,music listen They to
I watch movies.,I movies watch
She takes care.,care She takes
He goes jogging.,goes jogging He
We read newspapers.,read newspapers We
They plant vegetables.,vegetables They plant
She works online.,She works online
He learns martial arts.,He learns arts martial
We play with pets.,with play We pets
They study history.,study They history
She takes courses.,She takes courses
He designs gardens.,He designs gardens
We ride rollercoasters.,We rollercoasters ride
They play boardgames.,boardgames play They
I practice yoga.,I practice yoga
She creates videos.,videos She creates
He swims laps.,swims He laps
We take vacations.,take vacations We
They watch documentaries.,watch documentaries They
She sews quilts.,She quilts sews
He codes software.,software He codes
We go camping.,go We camping
They hike trails.,They hike trails
She reads books.,reads She books
He practices basketball.,basketball He practices
We watch birds.,birds We watch
They eat lunch.,lunch They eat
She takes photos.,takes photos She
He learns guitar.,He learns guitar
We exercise daily.,exercise We daily
They play chess.,chess play They
She runs errands.,errands She runs
He takes naps.,naps He takes
We make art.,We art make
They have fun.,fun have They
She writes poems.,writes She poems
He bikes everyday.,everyday He bikes
We explore nature.,We nature explore
They cook dinner.,dinner cook They
She watches TV.,TV watches She
He studies philosophy.,studies He philosophy
We play football.,play We football
They attend events.,attend events They
She volunteers often.,volunteers She often
He walks outside.,walks outside He
We listen carefully.,carefully We listen
They enjoy gardening.,gardening enjoy They
She creates crafts.,creates crafts She
He visits friends.,He visits friends
We clean house.,house clean We
She dances ballet.,She ballet dances
He reads newspapers.,He reads newspapers
We eat dinner.,eat dinner We
They play baseball.,They play baseball
She watches movies.,She watches movies
He plays trumpet.,He trumpet plays
We listen attentively.,We attentively listen
They cook breakfast.,They cook breakfast
She writes stories.,She stories writes
He drives safely.,He drives safely
We clean dishes.,clean We dishes
They learn quickly.,quickly learn They
She sings loudly.,sings She loudly
He works hard.,hard works He
We ride bikes.,We bikes ride
They swim laps.,swim laps They
She creates art.,creates She art
He exercises regularly.,regularly He exercises
We watch TV.,watch TV We
They speak Spanish.,Spanish They speak
She takes walks.,takes She walks
He studies math.,studies math He
We plant flowers.,plant flowers We
They play guitar.,They play guitar
She designs clothes.,designs clothes She
He meditates daily.,He meditates daily
We go shopping.,shopping go We
They hike mountains.,hike They mountains
She writes music.,music She writes
He takes photos.,He takes photos
We enjoy picnics.,enjoy picnics We
They draw cartoons.,cartoons draw They
She teaches science.,science She teaches
He listens carefully.,He listens carefully
We watch sunsets.,We watch sunsets
They dance together.,together dance They
She cooks meals.,meals cooks She
He solves puzzles.,He solves puzzles
We sing karaoke.,sing We karaoke
They travel often.,often They travel
She learns languages.,learns She languages
He creates websites.,websites creates He
We swim daily.,swim We daily
They study history.,study history They
She practices yoga.,She practices yoga
He designs logos.,logos He designs
We go camping.,go We camping
They play soccer.,soccer play They
She takes courses.,She takes courses
He fixes cars.,cars He fixes
We ride horses.,horses We ride
They attend concerts.,They attend concerts
She reads novels.,reads She novels
He watches sports.,He watches sports
We celebrate holidays.,holidays We celebrate
They ride rollercoasters.,They ride rollercoasters
She creates animations.,animations She creates
He goes jogging.,He jogging goes
We play board games.,board play We games
They volunteer regularly.,They volunteer regularly
She sketches portraits.,She portraits sketches
He codes software.,codes software He
We walk dogs.,walk We dogs
They watch birds.,watch They birds
She sews clothing.,clothing She sews
He practices martial arts.,practices He arts martial
We write letters.,We letters write
They take photographs.,take photographs They
She makes jewelry.,She jewelry makes
He studies literature.,literature He studies
We visit museums.,visit We museums
They hike trails.,trails They hike
She cooks dinner.,dinner She cooks
He designs buildings.,designs He buildings
We play frisbee.,We play frisbee
They listen to music.,listen They music to
She studies art.,art She studies
He takes care.,care takes He
We ride bikes.,ride We bikes
They do homework.,do homework They
She creates videos.,She videos creates
He swims laps.,laps swims He
We take vacations.,take vacations We
They watch documentaries.,documentaries They watch
She writes blogs.,She blogs writes
He designs gardens.,designs gardens He
We climb trees.,climb trees We
They play video games.,play They games video
She works online.,online She works
He learns new things.,new things He learns
We go for walks.,go We walks for
They swim laps.,They laps swim
She reads magazines.,reads magazines She
He practices football.,He football practices
We attend weddings.,We weddings attend
They cook together.,cook together They
She sings karaoke.,karaoke sings She
He works from home.,works home He from
We explore cities.,explore We cities
They watch sunrises.,watch They sunrises
She writes poetry.,writes poetry She
He takes walks.,walks He takes
We do chores.,do chores We
They ride motorcycles.,motorcycles They ride
She designs logos.,She logos designs
He listens to podcasts.,podcasts He to listens
We watch fireworks.,fireworks watch We
They study science.,science study They
She plays piano.,plays piano She
He runs marathons.,marathons runs He
We take photographs.,photographs We take
They study languages.,languages study They
She practices meditation.,She meditation practices
He fixes appliances.,fixes He appliances
We play basketball.,basketball We play
They visit family.,They visit family
She reads emails.,emails She reads
He plays soccer.,plays He soccer
We go swimming.,go We swimming
They make art.,They make art
She takes pictures.,pictures takes She
He cooks dinner.,dinner cooks He
We dance together.,together dance We
They write novels.,They write novels
She learns coding.,coding learns She
He plays basketball.,basketball plays He
We enjoy nature.,nature enjoy We
They watch movies.,They movies watch
She practices painting.,She practices painting
He takes notes.,He notes takes
We eat breakfast.,We breakfast eat
They study music.,music They study
She listens attentively.,listens attentively She
He runs errands.,runs errands He
We play tennis.,We tennis play
They hike mountains.,mountains hike They
She creates pottery.,pottery She creates
He watches birds.,He birds watches
We read books.,books read We
They play drums.,play They drums
She volunteers time.,She volunteers time
He practices singing.,singing He practices
We travel abroad.,abroad travel We
They cook meals.,cook meals They
She writes letters.,letters She writes
He learns piano.,piano learns He
We hike trails.,We trails hike
They play cards.,play cards They
She attends classes.,classes She attends
He works out.,He out works
She practices yoga.,yoga She practices
He designs clothes.,clothes designs He
We watch football.,watch We football
They listen attentively.,attentively listen They
She writes songs.,writes She songs
He cooks breakfast.,He cooks breakfast
We play chess.,chess We play
They ride bicycles.,They ride bicycles
She learns guitar.,guitar She learns
He watches TV.,watches He TV
We hike trails.,trails We hike
They swim laps.,They swim laps
She creates art.,creates She art
He reads books.,books reads He
We eat lunch.,lunch eat We
They play baseball.,baseball play They
She watches birds.,birds watches She
He takes photographs.,takes He photographs
We enjoy picnics.,enjoy We picnics
They study languages.,languages study They
She designs jewelry.,jewelry designs She
He writes poetry.,writes poetry He
We clean house.,house We clean
They attend events.,attend events They
She paints pictures.,She paints pictures
He practices basketball.,practices He basketball
We go hiking.,We hiking go
They play guitar.,They play guitar
She teaches yoga.,teaches She yoga
He studies biology.,studies biology He
We do laundry.,do laundry We
They perform magic.,magic They perform
She sings karaoke.,sings She karaoke
He draws cartoons.,draws He cartoons
We bike ride.,bike We ride
They watch sunsets.,sunsets watch They
She studies physics.,studies She physics
He builds robots.,He builds robots
We take walks.,take We walks
They attend parties.,parties attend They
She does makeup.,makeup does She
He reads newspapers.,newspapers reads He
We enjoy coffee.,We coffee enjoy
They surf waves.,They waves surf
She sketches portraits.,portraits sketches She
He writes articles.,He articles writes
We go shopping.,go shopping We
They collect stamps.,stamps collect They
She meditates daily.,She daily meditates
He plants flowers.,He plants flowers
We take photos.,photos We take
They bake cakes.,cakes bake They
She studies history.,She history studies
He practices hockey.,hockey practices He
We climb mountains.,climb We mountains
They create websites.,websites They create
She trains dogs.,dogs She trains
He studies psychology.,He psychology studies
We go camping.,camping go We
They take vacations.,take vacations They
She writes blogs.,blogs writes She
He enjoys nature.,enjoys He nature
We play ping pong.,ping play pong We
They attend concerts.,They concerts attend
She practices mindfulness.,She practices mindfulness
He creates animations.,creates animations He
We go swimming.,go swimming We
They play video games.,games play video They
She does Pilates.,She does Pilates
He studies literature.,studies literature He
We listen to music.,music listen to We
They go fishing.,They go fishing
She makes jewelry.,She jewelry makes
He works remotely.,works remotely He
We watch wildlife.,wildlife watch We
They take selfies.,selfies They take
She practices karate.,practices karate She
He cooks dinner.,cooks dinner He
We read magazines.,magazines We read
They do puzzles.,do puzzles They
She studies astronomy.,She astronomy studies
He practices football.,practices He football
We explore cities.,We explore cities
They watch theater.,watch They theater
She draws landscapes.,draws She landscapes
He writes code.,He writes code
We go sightseeing.,We sightseeing go
They take naps.,take They naps
She studies geology.,geology studies She
He plays volleyball.,plays volleyball He
We practice mindfulness.,practice We mindfulness
They attend lectures.,lectures attend They
She does crafts.,does She crafts
He reads novels.,He reads novels
We go skating.,We skating go
They do crosswords.,crosswords They do
She studies philosophy.,She studies philosophy
He practices martial arts.,martial arts He practices
We go kayaking.,kayaking go We
She plays piano.,She piano plays
He goes jogging.,goes He jogging
We plant trees.,trees We plant
They listen carefully.,They listen carefully
She writes books.,books writes She
He takes walks.,takes walks He
We swim laps.,swim laps We
They cook together.,They cook together
She studies anthropology.,anthropology studies She
He watches movies.,watches He movies
We go birdwatching.,We birdwatching go
They practice painting.,They painting practice
She takes selfies.,She selfies takes
He does push-ups.,push-ups He does
We listen to podcasts.,to We listen podcasts
They go skiing.,go They skiing
She makes soap.,She makes soap
He reads magazines.,He magazines reads
We go horseback riding.,riding go horseback We
They study economics.,study economics They
She practices archery.,archery She practices
He writes scripts.,He scripts writes
We go snorkeling.,We snorkeling go
They attend weddings.,They weddings attend
She does gardening.,gardening does She
He listens to music.,music He to listens
We play frisbee.,play We frisbee
They watch wildlife.,watch They wildlife
She studies zoology.,zoology She studies
He goes biking.,He biking goes
We attend church.,We attend church
They practice calligraphy.,They calligraphy practice
She takes care.,She care takes
He plays golf.,golf plays He
We enjoy sunsets.,We sunsets enjoy
They listen to audiobooks.,listen They to audiobooks
She writes poetry.,poetry writes She
He takes photographs.,He takes photographs
We go canoeing.,We go canoeing
They study art.,They study art
She practices gymnastics.,practices gymnastics She
He does yoga.,does He yoga
We read newspapers.,We read newspapers
They attend festivals.,festivals attend They
She does volunteer.,She volunteer does
He goes skateboarding.,He goes skateboarding
We listen to radio.,radio We listen to
They practice cooking.,cooking practice They
She studies sociology.,She sociology studies
He watches sports.,watches sports He
She teaches art.,art She teaches
He goes swimming.,He goes swimming
We read books.,read We books
They practice singing.,They singing practice
She writes scripts.,writes scripts She
He takes vacations.,takes vacations He
We enjoy picnics.,We picnics enjoy
They watch sunrises.,sunrises They watch
She studies medicine.,She medicine studies
He plays basketball.,basketball He plays
We go hiking.,We hiking go
They do laundry.,do They laundry
She takes photographs.,She photographs takes
He practices tennis.,practices tennis He
We listen to music.,listen We music to
They attend parties.,parties They attend
She writes articles.,She writes articles
He goes running.,goes running He
We do yoga.,yoga do We
They play video games.,play They games video
She studies geography.,She studies geography
He watches TV.,watches TV He
We go camping.,We camping go
They collect coins.,collect They coins
She does makeup.,makeup She does
He reads books.,reads books He
We take walks.,take We walks
They attend concerts.,attend They concerts
She practices karate.,She karate practices
He draws cartoons.,draws He cartoons
We go shopping.,We go shopping
They cook dinner.,They cook dinner
She studies chemistry.,chemistry studies She
He listens to podcasts.,He to listens podcasts
We go swimming.,go swimming We
They practice guitar.,They practice guitar
She writes blogs.,blogs She writes
He studies engineering.,engineering He studies
We play soccer.,soccer play We
They attend meetings.,attend meetings They
She does Pilates.,She Pilates does
He takes photographs.,photographs takes He
We go cycling.,We go cycling
They study languages.,study languages They
She practices yoga.,She practices yoga
He listens to music.,music to He listens
We do household chores.,We household do chores
They attend classes.,attend They classes
She writes stories.,writes She stories
He plays guitar.,guitar plays He
We take pictures.,take pictures We
They watch movies.,watch movies They
She studies computer science.,science studies She computer
He goes to work.,work to He goes
We enjoy nature.,enjoy We nature
They play basketball.,play basketball They
She takes care.,She care takes
He practices boxing.,practices boxing He
We watch TV.,We watch TV
They attend church.,church attend They
She studies philosophy.,philosophy studies She
He watches birds.,watches He birds
We go jogging.,jogging We go
They practice drawing.,They practice drawing
She takes naps.,naps She takes
He studies history.,He history studies
We go skiing.,skiing go We
They attend seminars.,attend They seminars
She does pottery.,does She pottery
He reads newspapers.,He newspapers reads
We go horseback riding.,horseback go riding We
They practice piano.,piano practice They
She studies psychology.,studies She psychology
He watches sports.,sports He watches
We go hiking.,go hiking We
She teaches science.,science teaches She
He goes fishing.,goes fishing He
We watch TV.,watch We TV
They practice dancing.,They practice dancing
She writes songs.,She songs writes
He takes breaks.,breaks He takes
We go kayaking.,We go kayaking
They watch stars.,They watch stars
She studies literature.,studies literature She
He plays volleyball.,plays He volleyball
We do push-ups.,do push-ups We
They attend lectures.,attend lectures They
She takes care.,takes care She
He practices skiing.,He skiing practices
We listen to birds.,birds to We listen
They go camping.,go They camping
She writes letters.,She writes letters
He studies physics.,physics He studies
We go fishing.,go We fishing
They practice public speaking.,They speaking practice public
She takes classes.,She classes takes
He reads novels.,reads novels He
We go hiking.,hiking go We
They watch documentaries.,watch documentaries They
She studies history.,history She studies
He plays piano.,He piano plays
We take vacations.,We take vacations
They attend workshops.,workshops attend They
She practices ballet.,practices ballet She
He listens to podcasts.,He listens podcasts to
We watch movies.,We watch movies
They study political science.,They political science study
She does laundry.,does She laundry
He goes jogging.,He jogging goes
We read magazines.,read magazines We
They attend meetings.,meetings attend They
She writes articles.,She writes articles
He practices football.,football practices He
We go birdwatching.,go We birdwatching
They watch wildlife.,They wildlife watch
She studies literature.,literature studies She
He takes photographs.,He takes photographs
We play tennis.,tennis play We
They attend weddings.,weddings attend They
She practices boxing.,practices She boxing
He listens to music.,He music listens to
We go swimming.,We swimming go
They watch sunsets.,watch They sunsets
She studies philosophy.,studies She philosophy
He plays basketball.,plays basketball He
We do yoga.,yoga We do
They attend seminars.,attend They seminars
She takes care.,care takes She
He practices swimming.,He practices swimming
We listen to podcasts.,to We podcasts listen
They go hiking.,They hiking go
She writes poetry.,writes She poetry
He studies biology.,studies biology He
We go running.,running We go
They practice photography.,They practice photography
She takes selfies.,She takes selfies
He watches movies.,He watches movies
We attend concerts.,concerts attend We
They study psychology.,study They psychology
She practices calligraphy.,practices calligraphy She
He reads comics.,comics reads He
We go sightseeing.,go We sightseeing
They watch plays.,watch They plays
She studies anthropology.,She anthropology studies
He plays drums.,plays drums He
We go sailing.,We sailing go
They practice martial arts.,martial arts They practice
She takes care.,She care takes
He listens to audiobooks.,audiobooks listens He to
We do household chores.,We do household chores
They attend classes.,They classes attend
She writes blogs.,writes blogs She
He practices tennis.,tennis He practices
We go skiing.,We skiing go
They watch TV.,watch They TV
She studies environmental science.,environmental science studies She
He takes walks.,He walks takes
We enjoy sunsets.,sunsets enjoy We
They play soccer.,They play soccer
She does gardening.,She gardening does
He listens to radio.,He listens to radio
We go horseback riding.,We riding go horseback
They study engineering.,They engineering study
She practices archery.,She practices archery
He watches sports.,watches sports He
We go camping.,camping go We
They attend church.,church attend They
She writes scripts.,She scripts writes
He studies economics.,studies economics He
We take walks.,take We walks
They practice cooking.,cooking practice They
She studies sociology.,studies She sociology
He watches birds.,He birds watches
We go swimming.,swimming We go
They attend parties.,parties They attend
She reads books.,reads She books
He practices golf.,practices golf He
We go biking.,go We biking
They watch the ocean.,They ocean the watch
She studies art.,art studies She
He plays guitar.,plays He guitar
We do housework.,We housework do
They attend games.,games attend They
She writes novels.,novels writes She
He studies medicine.,medicine He studies
We go rock climbing.,go climbing We rock
They watch planes.,watch planes They
She practices yoga.,yoga She practices
He listens to news.,He news listens to
We attend lectures.,We attend lectures
They study literature.,literature They study
She takes walks.,She takes walks
He watches nature.,He watches nature
We go to museums.,We museums go to
They practice meditation.,meditation practice They
She studies law.,law She studies
He plays baseball.,baseball plays He
We go ice skating.,We go ice skating
They watch wildlife.,They watch wildlife
She writes essays.,essays writes She
He studies geology.,He studies geology
We do exercises.,exercises We do
They attend concerts.,They attend concerts
She practices singing.,singing She practices
He listens to music.,He listens to music
We go canoeing.,canoeing We go
They watch theater.,theater They watch
She studies religion.,She religion studies
He takes naps.,naps He takes
We enjoy sunrises.,sunrises We enjoy
They play hockey.,hockey They play
She does knitting.,knitting does She
He watches TV.,watches TV He
We go on picnics.,on go We picnics
They attend meetings.,They attend meetings
She writes poems.,She writes poems
He practices martial arts.,He practices arts martial
We go snowboarding.,snowboarding go We
They watch sunsets.,watch They sunsets
She studies philosophy.,philosophy studies She
He plays soccer.,plays soccer He
We go jogging.,jogging go We
They practice art.,art They practice
She takes care.,takes She care
He listens to podcasts.,podcasts listens to He
We go on road trips.,road trips on go We
They watch birds.,They birds watch
She studies astronomy.,She studies astronomy
He plays chess.,He chess plays
We go skating.,go We skating
They attend parties.,attend They parties
She writes stories.,stories She writes
He studies chemistry.,He studies chemistry
We go on hikes.,hikes We go on
They watch movies.,watch movies They
She practices pottery.,practices pottery She
He listens to music.,music He to listens
We go on walks.,We walks on go
They attend classes.,classes They attend
She studies computer science.,She studies science computer
He takes photos.,He takes photos
We go to concerts.,go to We concerts
They practice writing.,writing practice They
She takes care.,She takes care
